"IdDocAdj";"IdNormativa";"Documento";"Ruta";"Formato";"Titulo";"Detalle";"Descripción";"Idioma";"CreadoPor";"FCreado";"ModificadoPor";"FModificado"
1;1;"1968000000000100000001.pdf";"\1968";"pdf";"DECRETO LEY 5-1968, de 6 de junio, sobre medidas urgentes de reestructuración universitaria (BOE 137 - 07-06-1968).pdf";;"DECRETO LEY 5-1968, de 6 de junio, sobre medidas urgentes de reestructuración universitaria";;"p4c0b43n4";6/2/2021 18:43:25;"p4c0b43n4";6/2/2021 18:47:58
2;2;"1985000000000200000002.pdf";"\1985";"pdf";"Decreto 145-1985, de 20 de septiembre, del Consell de la GV, se aprueban los Estatutos de la UPV 1985 (BOE 95 - 21-04-1987)";;"Decreto 145/1985, de 20 de septiembre, del Consell de la GV, se aprueban los Estatutos de la UPV 1985";;;7/2/2021 8:38:51;"p4c0b43n4";7/2/2021 8:38:51
3;3;"198500000000030000003.rtf";"\1986";"rtf";"Corrección de errores del Decreto 145-1985, de 20 de septiembre, del Consell de la GV, se aprueba el Estatuto de la UPV (DOGV 372 - 05-05-1986)";;"Corrección de errores del Decreto 145-1985, de 20 de septiembre, del Consell de la GV, se aprueba el Estatuto de la UPV";;;7/2/2021 8:39:02;"p4c0b43n4";7/2/2021 8:39:02
4;4;"1985000000000400000004.rtf";"\1985";"rtf";"Decreto 204-1985, de 23 de diciembre, del Consell de la GV, modif. Decreto 145-1985, de 20 de septiembre, Estatutos UPV (DOGV 336 - 03-02-1986)";;"Decreto 204-1985, de 23 de diciembre, del Consell de la GV, modif. Decreto 145-1985, de 20 de septiembre Estatutos UPV";;"p4c0b43n4";7/2/2021 8:39:23;"p4c0b43n4";7/2/2021 8:39:23
5;4;"1985000000000400000005.pdf";"\1985";"pdf";"Decreto 203-1985, de 23 de diciembre, del Consell de la GV, modif. Decreto 145-1985, de 20 de septiembre, Estatutos UPV (BOE 96 - 22-04-1987)";;"Decreto 204-1985, de 23 de diciembre, del Consell de la GV, modif. Decreto 145-1985, de 20 de septiembre Estatutos UPV";;"p4c0b43n4";7/2/2021 8:39:32;"p4c0b43n4";7/2/2021 8:39:32
6;5;"2003000000000500000006.pdf";"\2003";"pdf";"Decreto 253-2003, de 19 de diciembre, del Consell de la Generalitat, se aprueban los Estatutos de la UPV 2003 (DOGV 4658 - 26-12-2003)";;"Decreto 253-2003, de 19 de diciembre, del Consell de la Generalitat, se aprueban los Estatutos de la UPV 2003";;"p4c0b43n4";7/2/2021 8:41:19;"p4c0b43n4";7/2/2021 8:41:19
7;5;"2003000000000500000007.pdf";"\2003";"pdf";"Decreto 253-2003, de 19 de diciembre, se aprueban los Estatutos de la UPV 2003 (BOE 69 - 22-03-2005)";;"Decreto 253-2003, de 19 de diciembre, del Consell de la Generalitat, se aprueban los Estatutos de la UPV 2003";;"p4c0b43n4";7/2/2021 8:41:26;"p4c0b43n4";7/2/2021 8:41:26
8;5;"2003000000000500000008.pdf";"\2003";"pdf";"Estatutos de la UPV 2003. Aprobados por el Claustro Universitario el 02-07-2003";;"Decreto 253-2003, de 19 de diciembre, del Consell de la Generalitat, se aprueban los Estatutos de la UPV 2003";;"p4c0b43n4";7/2/2021 8:41:33;"p4c0b43n4";7/2/2021 8:41:33
9;6;"2011000000000600000009.pdf";"\2011";"pdf";"Decreto 182-2011, de 25 de noviembre, del Consell, se aprueban los Estatutos de la UPV 2011 (DOGV 6661 - 29-11-2011)";;"Decreto 182-2011, de 25 de noviembre, del Consell, se aprueban los Estatutos de la UPV 2011";;"p4c0b43n4";7/2/2021 8:45:42;"p4c0b43n4";7/2/2021 8:45:42
10;6;"2011000000000600000010.pdf";"\2011";"pdf";"Decreto 182-2011, de 25 de noviembre, del Consell, se aprueban los Estatutos de la UPV 2011 (BOE 299 - 13-12-2011)";;"Decreto 182-2011, de 25 de noviembre, del Consell, se aprueban los Estatutos de la UPV 2011";;"p4c0b43n4";7/2/2021 8:45:49;"p4c0b43n4";7/2/2021 8:45:49
