"IdNormativa";"TipoNormativa";"Titulo";"OrganoResp";"IdAprobadoPorOrg";"AprobadoPorOrg";"IdEntidad";"Entidad";"IdEstructuraResponsable";"EstructuraResponsable";"Caracter";"FAprobado";"FEntradaVigor";"Descripcion";"Documento";"BOUPV";"Numero";"TextoConsolidado";"Vigente";"FFinVigencia";"CreadoPor";"FCreado";"ModificadoPor";"FModificado";"Comentarios";"ContenidoCAS";"ContenidoVAL";"Verificada"
1;"Normativa";"DECRETO LEY 5-1968, de 6 de junio, sobre medidas urgentes de reestructuración universitaria";2;;;;;;;"Público";6/6/1968 0:00:00;8/6/1968 0:00:00;"DECRETO LEY 5-1968, de 6 de junio, sobre medidas urgentes de reestructuración universitaria (BOE 137 - 07-06-1968)";;;;0;0;;"p4c0b43n4";6/2/2021 18:02:55;"p4c0b43n4";5/11/2023 12:46:53;;;;1
2;"Normativa";"Decreto 145/1985, de 20 de septiembre, del Consell de la GV, se aprueban los Estatutos de la UPV";2;;;;;;;"Público";20/9/1985 0:00:00;30/9/1985 0:00:00;"Decreto 145/1985, de 20 de septiembre, del Consell de la Generalitat Valenciana, se aprueban los Estatutos de la Universidad Politécnica de Valencia 1985 (BOE 95 - 21-04-1987)";;;;0;0;26/12/2003 0:00:00;"p4c0b43n4";6/2/2021 18:48:54;"p4c0b43n4";5/11/2023 12:46:58;;;;1
3;"Corrección de erratas";"Corrección de errores del Decreto 145-1985, de 20 de septiembre, del Consell de la GV, se aprueba el Estatuto de la UPV";2;;;;;;;"Público";5/5/1986 0:00:00;5/5/1986 0:00:00;"Corrección de errores del Decreto 145-1985, de 20 de septiembre, del Consell de la Generalitat Valenciana, por el que se aprueba el Estatuto de la Universidad Politécnica de Valencia (DOGV 372 - 05-05-1986)";;;;0;0;26/12/2003 0:00:00;"p4c0b43n4";6/2/2021 20:13:37;"p4c0b43n4";5/11/2023 12:47:03;;;;1
4;"Normativa";"Decreto 204-1985, de 23 de diciembre, del Consell de la GV, modif. Decreto 145-1985, de 20 de septiembre Estatutos UPV";2;;"Consell de la Generalitat Valenciana";;"Generalitat Valenciana";;;"Público";23/12/1985 0:00:00;26/12/1985 0:00:00;"Decreto 204/1985, de 23 de diciembre, del Consell de la Generalitat Valenciana, por el que se aprueban, con carácter provisional, los artículos 13 y 25 y la disposición transitoria decimoctava del Anexo al Decreto 145/1985, de 20 de septiembre, por el que se aprueban los Estatutos de la Universidad Politécnica de Valencia (DOGV 336 - 03-02-1986) (BOE 96 - 22-04-1987)";;;;0;0;26/12/2003 0:00:00;"p4c0b43n4";6/2/2021 21:00:01;"p4c0b43n4";5/11/2023 12:47:10;"Modifica: 
  Decreto 145-1985, de 20 de septiembre, del Consell de la Generalitat Valenciana, por el que se aprueban los Estatutos de la UPV";;;1
5;"Normativa";"Decreto 253-2003, de 19 de diciembre, del Consell de la Generalitat, se aprueban los Estatutos de la UPV 2003";2;;"Consell de la Generalitat";;"Generalitat Valenciana";;;"Público";19/12/2003 0:00:00;26/12/2003 0:00:00;"Decreto 253/2003, de 19 de diciembre, del Consell de la Generalitat, por el que se aprueban los Estatutos de la Universidad Politécnica de Valencia (DOGV 4658 - 26-12-2003) (BOE 69 - 22-03-2005) 
Aprobados por el Claustro Universitario el 02-07-2003";;;;0;0;30/11/2011 0:00:00;"p4c0b43n4";6/2/2021 21:08:30;"p4c0b43n4";5/11/2023 12:47:15;;;;1
6;"Normativa";"Decreto 182-2011, de 25 de noviembre, del Consell, se aprueban los Estatutos de la UPV 2011";2;;"Consell de la Generalitat Valenciana";;"Generalitat Valenciana";;;"Público";25/11/2011 0:00:00;30/11/2011 0:00:00;"Decreto 182/2011, de 25 de noviembre, del Consell, por el que se aprueban los Estatutos de la Universitat Politècnica de València (DOGV 6661 - 29-11-2011) (BOE 299 - 13-12-2011) 
Aprobados por el Claustro Universitario el 13 de diciembre de 2010";;"0";;0;0;;"p4c0b43n4";6/2/2021 21:22:10;"p4c0b43n4";5/11/2023 12:47:20;"Deroga: 
  Decreto 253-2003, de 19 de diciembre, del Consell de la Generalitat, por el que se aprueban los Estatutos de la UPV 2003";;;1
7;"Reglamento";"Reglamento del Boletín Oficial UPV";2;169;"Consejo de Gobierno";120;"UPV";;;"Público";9/11/2006 0:00:00;12/12/2006 0:00:00;"Reglamento del Boletín Oficial de la Universidad Politécnica de Valencia (DOGV 5404 - 11-12-2006) (CG 09-11-2006) - BOUPV 0
Aprobado por el Consejo de Gobierno en su sesión de 9 de noviembre de 2006";;"0";;0;0;31/12/2021 0:00:00;"p4c0b43n4";7/2/2021 10:51:54;"p4c0b43n4";5/11/2023 12:47:25;;;;1
8;"Normativa";"Decreto 495-1971, de 11 de marzo, aprueba estructura departamental del Instituto Politécnico Superior de Valencia y se constituye en UP";2;;"Consejo de Ministros";;"Consejo de Ministros";;;"Público";19/2/1971 0:00:00;26/3/1971 0:00:00;"Decreto 495/1971, de 11 de marzo, por el que se aprueba la estructura departamental del Instituto Politécnico Superior de Valencia y se constituye en Universidad Politécnica  (BOE 73 - 26-03-1971) BOUPV 0
Aprobado en reunión del Consejo de Ministros de fecha 19 de febrero de 1971";;"0";;0;0;;"p4c0b43n4";7/2/2021 11:00:45;"p4c0b43n4";5/11/2023 12:47:30;;;;1
9;"Normativa";"RD 2633/1985, de 20 de noviembre, sobre traspaso de servicios de la Administración del Estado a la Comunidad Valenciana en materia de universidades";2;;"Consejo de Ministros";;"Consejo de Ministros";;;"Público";20/11/1985 0:00:00;21/1/1986 0:00:00;"Real Decreto 2633/1985, de 20 de noviembre, sobre traspaso de servicios de la Administración del Estado a la Comunidad Valenciana en materia de universidades (BOE 18 - 21-01-1986) (DOGV 338 - 07-02-1986) BOUPV 0
Aprobado en reunión del Consejo de Ministros de fecha 20 de noviembre de 1985";;"0";;0;0;;"p4c0b43n4";7/2/2021 11:05:43;"p4c0b43n4";5/11/2023 12:47:37;;;;1
10;"Normativa";"Normativa universitaria vigente en 2006";2;;"Junta de Gobierno";;"UPV";;;"Público";31/12/2006 0:00:00;;"Normativa universitaria vigente en 2006 - BOUPV 0
	Normas generales
	Alumnado
		Acceso a la Universidad
		Estudios universitarios de 1er y 2do ciclo
		Estudios universitarios de 3er ciclo
		Títulos universitarios
	PAS / PDI
		Normativa común al PAS y PDI
		Personal de Administración y Servicios
		Profesorado
		Becarios de investigación";;"0";;0;0;;"p4c0b43n4";7/2/2021 11:09:39;"p4c0b43n4";5/11/2023 12:47:43;;;;1
