"IdNormativaRef";"IdNorActual";"IdNorAnterior";"TipoRef"
1;3;2;5
2;4;2;2
3;5;2;1
4;5;3;1
5;5;4;1
6;6;5;1
7;28;11;5
8;36;17;6
9;37;26;5
10;43;31;5
11;46;38;5
12;104;101;5
13;109;18;2
14;113;68;2
15;114;17;2
16;129;76;6
17;130;76;6
18;130;129;6
19;146;142;5
20;124;14;2
21;151;14;1
22;151;124;1
23;183;171;5
24;191;128;5
26;197;114;4
27;209;161;6
28;209;197;6
29;216;197;6
30;218;18;1
31;247;75;4
32;254;244;5
33;257;252;5
34;260;234;1
35;262;252;5
36;262;257;5
37;266;218;2
38;269;16;2
39;270;115;2
40;271;151;2
41;281;235;1
42;282;114;1
43;294;97;1
44;295;281;5
45;299;111;1
46;304;27;1
47;306;260;2
48;310;292;2
49;332;315;5
50;341;211;2
51;395;282;3
52;397;366;2
53;411;151;1
54;411;271;1
55;438;413;1
56;461;187;2
57;480;447;5
58;487;479;2
59;505;211;2
60;505;341;2
61;521;260;2
62;521;306;2
63;534;502;5
64;538;274;2
65;551;170;1
66;554;500;5
67;555;509;5
68;560;394;1
69;561;215;6
70;563;197;2
71;580;236;2
72;581;460;2
73;598;371;2
76;603;411;2
77;616;218;2
78;616;266;2
79;625;591;2
80;627;260;2
81;627;306;2
82;627;521;2
83;628;25;6
84;629;339;3
85;630;23;1
86;630;22;1
87;630;570;1
88;631;304;1
89;634;371;2
90;634;598;2
91;654;299;2
92;666;460;3
93;666;581;3
96;667;411;2
97;667;603;2
98;672;574;2
99;673;74;1
100;675;236;2
101;675;580;2
102;676;368;1
103;695;667;5
104;706;686;2
105;707;687;2
106;708;460;2
107;708;581;2
108;708;666;2
109;727;687;2
110;727;707;2
111;730;299;2
112;730;654;2
113;732;218;2
114;732;266;2
115;732;616;2
117;736;654;3
118;736;730;3
119;738;500;2
120;739;500;3
121;739;554;3
122;739;738;3
123;740;630;2
124;741;630;3
125;741;740;3
126;743;7;2
127;744;7;3
128;744;743;3
129;745;197;2
130;745;563;2
131;746;197;3
132;746;563;3
133;746;745;3
134;747;236;1
135;747;580;1
136;758;211;2
137;758;341;2
138;758;211;2
139;759;211;3
140;759;341;3
141;759;505;3
142;759;758;3
143;760;16;2
144;760;269;2
145;761;16;3
146;761;269;3
147;761;760;3
148;762;372;2
149;762;373;2
150;764;676;2
151;765;676;3
152;765;764;3
153;768;335;2
154;769;335;3
155;769;768;3
156;777;751;2
157;781;500;2
158;781;738;2
159;781;739;1
160;784;197;2
161;784;563;2
162;784;745;2
163;784;746;1
164;785;294;1
165;788;500;3
166;788;738;3
168;788;781;3
169;789;197;3
170;789;745;3
172;789;784;3
173;795;415;1
174;804;775;2
175;805;551;2
176;806;551;3
177;806;805;3
178;810;747;2
179;811;747;3
180;811;810;3
181;814;329;2
182;815;329;3
183;815;814;3
184;816;667;1
185;816;695;1
186;817;412;1
187;818;816;5
188;820;576;1
189;828;201;1
190;832;371;2
191;832;598;2
192;832;634;2
193;833;371;3
194;833;598;3
195;833;634;3
196;833;832;3
197;834;115;1
198;834;270;1
199;843;211;2
200;843;341;2
201;843;505;2
202;843;758;2
203;843;759;2
204;844;460;2
205;844;581;2
206;844;666;2
207;844;708;2
208;845;460;3
209;845;581;3
210;845;666;3
211;845;708;3
212;845;844;3
213;847;830;5
214;847;831;5
215;848;478;5
217;851;795;6
218;857;371;2
219;857;598;2
220;857;634;2
221;857;832;2
222;857;833;1
223;858;371;3
224;858;598;3
225;858;634;3
226;858;832;3
228;858;857;3
229;859;243;1
230;860;835;2
231;862;785;2
232;863;785;3
233;863;862;3
234;888;849;2
235;888;855;2
237;855;849;2
238;892;840;2
239;893;840;3
240;893;892;3
241;894;756;2
242;895;756;3
243;895;894;3
244;896;859;1
245;897;460;2
246;897;581;2
250;897;666;2
251;897;708;2
252;897;845;1
253;898;460;3
254;898;581;3
255;898;666;3
256;898;708;3
257;898;844;3
258;898;897;3
259;905;840;2
260;905;892;2
261;905;893;1
262;906;551;2
263;906;805;2
264;906;806;1
265;907;551;3
266;907;805;3
267;907;906;3
268;908;751;2
269;908;777;2
270;908;791;2
271;908;792;2
272;908;793;2
273;910;26;2
274;911;26;3
275;911;910;3
276;912;816;2
277;912;818;2
278;913;197;3
281;913;563;3
282;913;745;3
283;913;784;3
284;913;789;1
285;914;218;2
286;914;266;2
287;914;616;2
288;917;420;2
289;918;886;2
290;920;128;2
291;920;191;6
292;921;128;3
293;921;191;6
294;921;920;3
295;927;574;1
296;927;672;1
297;928;840;2
298;928;892;2
299;928;905;2
300;929;99;6
301;929;834;6
